filter,class,predicted_class
Original,53,53
snow10,53,51
Original,7,7
snow10,7,15
Original,45,45
snow10,45,45
Original,30,30
snow10,30,30
Original,49,49
snow10,49,40
Original,30,30
snow10,30,30
Original,52,52
snow10,52,52
Original,12,12
snow10,12,12
Original,97,97
snow10,97,97
Original,16,16
snow10,16,16
Original,41,41
snow10,41,41
Original,57,57
snow10,57,57
Original,48,48
snow10,48,48
Original,30,30
snow10,30,30
Original,21,21
snow10,21,28
Original,21,21
snow10,21,21
Original,16,16
snow10,16,16
Original,90,90
snow10,90,90
Original,86,86
snow10,86,86
Original,53,53
snow10,53,53
Original,66,66
snow10,66,66
Original,32,32
snow10,32,32
Original,15,15
snow10,15,15
Original,48,48
snow10,48,48
Original,48,48
snow10,48,48
Original,45,45
snow10,45,45
Original,90,90
snow10,90,90
Original,22,22
snow10,22,22
Original,30,30
snow10,30,30
Original,78,78
snow10,78,78
Original,1,1
snow10,1,1
Original,53,53
snow10,53,50
Original,60,60
snow10,60,60
Original,54,56
snow10,54,50
Original,52,52
snow10,52,52
Original,66,66
snow10,66,66
Original,78,78
snow10,78,78
Original,77,77
snow10,77,77
Original,57,57
snow10,57,57
Original,11,11
snow10,11,11
Original,28,28
snow10,28,28
Original,90,90
snow10,90,90
Original,37,37
snow10,37,37
Original,90,90
snow10,90,90
Original,30,30
snow10,30,30
Original,0,0
snow10,0,0
Original,53,53
snow10,53,53
Original,55,53
snow10,55,51
Original,32,32
snow10,32,32
Original,62,45
snow10,62,61
Original,20,20
snow10,20,15
Original,97,97
snow10,97,97
Original,90,90
snow10,90,90
Original,19,19
snow10,19,19
Original,50,50
snow10,50,50
Original,72,72
snow10,72,72
Original,51,51
snow10,51,55
Original,90,90
snow10,90,90
Original,46,46
snow10,46,46
Original,75,75
snow10,75,75
Original,57,57
snow10,57,57
Original,57,57
snow10,57,57
Original,32,32
snow10,32,32
Original,99,90
snow10,99,90
Original,63,63
snow10,63,63
Original,23,23
snow10,23,23
Original,42,42
snow10,42,42
Original,32,32
snow10,32,32
Original,48,48
snow10,48,48
Original,74,74
snow10,74,74
Original,30,30
snow10,30,30
Original,32,40
snow10,32,32
Original,90,90
snow10,90,90
Original,52,52
snow10,52,52
Original,66,66
snow10,66,66
Original,28,28
snow10,28,28
Original,87,87
snow10,87,87
Original,87,87
snow10,87,87
Original,37,37
snow10,37,37
Original,81,81
snow10,81,81
Original,87,87
snow10,87,87
Original,48,48
snow10,48,39
Original,90,90
snow10,90,90
Original,49,49
snow10,49,49
Original,43,43
snow10,43,43
Original,66,66
snow10,66,66
Original,62,62
snow10,62,62
Original,15,15
snow10,15,15
Original,56,56
snow10,56,55
Original,0,0
snow10,0,0
Original,19,19
snow10,19,19
Original,16,16
snow10,16,16
Original,32,32
snow10,32,32
Original,20,20
snow10,20,20
Original,37,37
snow10,37,37
Original,2,2
snow10,2,2
Original,52,52
snow10,52,52
Original,1,1
snow10,1,1
Original,23,23
snow10,23,23
Original,28,28
snow10,28,28
Original,22,22
snow10,22,22
Original,45,45
snow10,45,45
Original,23,23
snow10,23,23
Original,48,48
snow10,48,48
Original,53,53
snow10,53,53
Original,15,15
snow10,15,7
Original,90,90
snow10,90,90
Original,48,48
snow10,48,48
Original,52,52
snow10,52,52
Original,23,23
snow10,23,23
Original,57,57
snow10,57,57
Original,92,91
snow10,92,52
Original,25,25
snow10,25,21
Original,74,74
snow10,74,74
Original,99,99
snow10,99,99
Original,21,21
snow10,21,21
Original,28,28
snow10,28,28
Original,23,20
snow10,23,12
Original,12,12
snow10,12,12
Original,77,77
snow10,77,77
Original,30,30
snow10,30,30
Original,30,30
snow10,30,30
Original,15,15
snow10,15,15
Original,28,28
snow10,28,28
Original,15,15
snow10,15,15
Original,51,51
snow10,51,51
Original,51,51
snow10,51,51
Original,23,23
snow10,23,23
Original,37,37
snow10,37,37
Original,52,52
snow10,52,52
Original,90,90
snow10,90,90
Original,63,63
snow10,63,63
Original,52,52
snow10,52,52
Original,60,60
snow10,60,60
Original,42,42
snow10,42,42
Original,81,90
snow10,81,90
Original,50,50
snow10,50,53
Original,50,53
snow10,50,45
Original,50,50
snow10,50,48
Original,79,79
snow10,79,79
Original,30,30
snow10,30,30
Original,86,86
snow10,86,86
Original,52,52
snow10,52,52
Original,17,17
snow10,17,17
Original,87,87
snow10,87,87
Original,57,57
snow10,57,57
Original,53,48
snow10,53,48
Original,97,97
snow10,97,97
Original,20,20
snow10,20,20
Original,90,90
snow10,90,90
Original,43,43
snow10,43,43
Original,74,74
snow10,74,74
Original,49,49
snow10,49,49
Original,52,52
snow10,52,52
Original,52,52
snow10,52,52
Original,90,90
snow10,90,90
Original,52,52
snow10,52,52
Original,52,52
snow10,52,52
Original,81,81
snow10,81,81
Original,20,20
snow10,20,20
Original,52,52
snow10,52,52
Original,46,46
snow10,46,46
Original,78,78
snow10,78,78
Original,50,50
snow10,50,50
Original,45,45
snow10,45,45
Original,90,90
snow10,90,90
Original,19,19
snow10,19,19
Original,46,46
snow10,46,46
Original,90,90
snow10,90,90
Original,39,39
snow10,39,39
Original,5,5
snow10,5,5
Original,50,50
snow10,50,50
Original,30,30
snow10,30,30
Original,7,7
snow10,7,0
Original,16,16
snow10,16,16
Original,24,1
snow10,24,6
Original,52,52
snow10,52,52
Original,32,32
snow10,32,32
Original,60,60
snow10,60,60
Original,75,75
snow10,75,75
Original,46,46
snow10,46,46
Original,55,55
snow10,55,55
Original,28,28
snow10,28,28
Original,45,45
snow10,45,45
Original,23,23
snow10,23,23
Original,53,53
snow10,53,53
Original,90,90
snow10,90,90
Original,63,63
snow10,63,63
Original,37,37
snow10,37,37
Original,36,36
snow10,36,36
Original,90,90
snow10,90,90
Original,74,74
snow10,74,74
Original,48,48
snow10,48,48
Original,90,90
snow10,90,90
Original,17,17
snow10,17,17
Original,36,36
snow10,36,36
Original,30,30
snow10,30,77
Original,53,53
snow10,53,53
Original,63,63
snow10,63,63
Original,53,53
snow10,53,53
Original,53,53
snow10,53,53
Original,30,30
snow10,30,30
Original,90,90
snow10,90,90
Original,49,49
snow10,49,49
Original,61,61
snow10,61,61
Original,81,81
snow10,81,81
Original,0,0
snow10,0,0
Original,72,72
snow10,72,72
Original,50,50
snow10,50,50
Original,74,74
snow10,74,74
Original,48,48
snow10,48,48
Original,28,28
snow10,28,28
Original,42,42
snow10,42,42
Original,77,77
snow10,77,77
Original,23,23
snow10,23,23
Original,52,52
snow10,52,52
Original,55,55
snow10,55,55
Original,32,32
snow10,32,32
Original,45,45
snow10,45,45
Original,61,61
snow10,61,61
Original,59,59
snow10,59,59
Original,30,30
snow10,30,30
Original,90,90
snow10,90,90
Original,48,48
snow10,48,48
Original,16,16
snow10,16,16
Original,88,88
snow10,88,88
Original,50,50
snow10,50,50
Original,30,30
snow10,30,30
Original,74,78
snow10,74,78
Original,67,67
snow10,67,67
Original,50,50
snow10,50,51
Original,50,50
snow10,50,51
Original,43,43
snow10,43,43
Original,41,41
snow10,41,41
Original,48,48
snow10,48,48
Original,41,41
snow10,41,41
Original,28,28
snow10,28,28
Original,48,48
snow10,48,48
Original,90,90
snow10,90,90
Original,53,46
snow10,53,20
Original,30,30
snow10,30,30
Original,2,2
snow10,2,2
Original,30,30
snow10,30,30
Original,46,46
snow10,46,46
Original,71,71
snow10,71,71
Original,28,28
snow10,28,28
Original,23,23
snow10,23,23
Original,50,50
snow10,50,50
Original,16,16
snow10,16,16
Original,40,40
snow10,40,40
Original,55,55
snow10,55,55
Original,90,90
snow10,90,90
Original,19,19
snow10,19,19
Original,23,23
snow10,23,23
Original,67,67
snow10,67,67
Original,50,50
snow10,50,50
Original,45,45
snow10,45,45
Original,30,30
snow10,30,30
Original,31,31
snow10,31,32
Original,69,69
snow10,69,69
Original,30,30
snow10,30,30
Original,86,86
snow10,86,86
Original,77,74
snow10,77,74
Original,23,23
snow10,23,23
Original,50,50
snow10,50,50
Original,78,78
snow10,78,78
Original,79,79
snow10,79,79
Original,36,36
snow10,36,36
Original,78,78
snow10,78,78
Original,12,25
snow10,12,25
Original,30,30
snow10,30,30
Original,6,6
snow10,6,6
Original,92,91
snow10,92,91
Original,37,53
snow10,37,37
Original,48,48
snow10,48,48
Original,50,50
snow10,50,50
Original,52,67
snow10,52,41
Original,78,78
snow10,78,78
Original,63,63
snow10,63,63
Original,55,55
snow10,55,55
Original,93,93
snow10,93,93
Original,55,55
snow10,55,55
Original,53,53
snow10,53,53
Original,2,2
snow10,2,2
Original,74,74
snow10,74,74
Original,86,86
snow10,86,86
Original,67,67
snow10,67,67
Original,50,50
snow10,50,50
Original,65,65
snow10,65,65
Original,55,55
snow10,55,55
Original,51,51
snow10,51,51
Original,32,32
snow10,32,32
Original,15,15
snow10,15,15
Original,30,30
snow10,30,30
Original,30,30
snow10,30,30
Original,7,7
snow10,7,7
Original,50,50
snow10,50,50
Original,73,73
snow10,73,73
Original,67,67
snow10,67,67
Original,97,97
snow10,97,97
Original,48,48
snow10,48,48
