class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,93.5,95.12,95.12,95.12,95.93,95.93,95.93,95.93,95.93,95.93,95.93,123
1,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,44
2,83.33,81.48,83.33,83.33,88.89,85.19,87.04,85.19,79.63,83.33,83.33,54
3,71.43,71.43,71.43,71.43,66.67,71.43,66.67,71.43,66.67,66.67,61.9,21
4,66.67,66.67,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,9
5,85.71,85.71,71.43,71.43,71.43,71.43,71.43,71.43,57.14,71.43,71.43,7
6,81.67,86.67,88.33,86.67,86.67,88.33,88.33,90.0,91.67,91.67,88.33,60
7,82.5,87.5,85.0,87.5,87.5,85.0,87.5,87.5,87.5,80.0,75.0,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,92.31,92.31,84.62,84.62,84.62,84.62,84.62,92.31,92.31,84.62,13
11,93.33,93.33,93.33,93.33,93.33,91.11,91.11,91.11,91.11,91.11,84.44,45
12,91.84,90.82,90.82,90.82,90.82,90.82,90.82,89.8,91.84,90.82,89.8,98
13,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,91.14,92.41,91.77,92.41,91.77,91.77,91.77,91.14,90.51,92.41,86.71,158
16,93.04,92.67,92.67,92.31,92.31,92.67,91.94,92.31,91.94,91.58,90.11,273
17,86.54,84.62,84.62,84.62,82.69,84.62,84.62,80.77,78.85,78.85,80.77,52
18,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,5
19,92.45,92.45,91.51,92.45,91.51,91.51,92.45,92.45,92.45,93.4,90.57,106
20,96.97,96.97,96.97,96.97,96.97,96.54,96.54,96.1,95.67,96.1,93.51,231
21,93.55,90.32,90.32,90.32,88.17,84.95,86.02,84.95,84.95,78.49,72.04,93
22,78.46,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.54,78.46,80.0,65
23,96.92,96.62,96.31,96.31,96.62,96.62,96.31,95.69,96.0,95.08,96.62,325
24,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,65.0,60.0,60.0,20
25,85.71,71.43,80.95,95.24,95.24,85.71,80.95,90.48,85.71,95.24,95.24,21
26,90.91,90.91,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.48,97.27,95.7,94.53,95.31,94.92,94.92,94.53,94.14,92.58,91.8,256
29,71.93,61.4,57.89,63.16,59.65,56.14,52.63,50.88,56.14,52.63,56.14,57
30,97.91,96.98,97.45,97.45,97.22,97.22,97.45,97.68,97.45,96.98,96.98,431
31,93.33,93.33,92.78,94.44,94.44,94.44,95.0,93.33,93.89,93.89,90.0,180
32,97.47,97.19,97.19,97.75,97.47,97.19,97.19,96.91,96.07,91.57,90.17,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,95.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,94.29,97.14,94.29,94.29,94.29,94.29,88.57,85.71,80.0,80.0,71.43,35
36,99.35,98.7,98.7,99.35,99.35,99.35,99.35,99.35,99.35,98.7,96.75,154
37,97.12,96.4,97.12,97.12,97.12,96.4,97.12,96.4,97.12,95.68,95.68,139
38,66.67,77.78,77.78,77.78,88.89,88.89,100.0,100.0,100.0,100.0,100.0,9
39,75.76,72.73,84.85,84.85,87.88,84.85,87.88,84.85,75.76,75.76,78.79,33
40,93.62,91.49,89.36,89.36,91.49,91.49,91.49,89.36,89.36,80.85,76.6,47
41,95.88,93.81,93.81,94.85,93.81,94.85,94.85,93.81,92.78,93.81,94.85,97
42,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,96.15,94.87,94.87,78
