class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,97.56,95.93,96.75,97.56,94.31,95.12,96.75,96.75,96.75,94.31,96.75,123
1,93.18,93.18,90.91,93.18,90.91,93.18,93.18,93.18,93.18,93.18,90.91,44
2,87.04,90.74,85.19,88.89,87.04,87.04,90.74,90.74,87.04,88.89,90.74,54
3,71.43,71.43,71.43,71.43,71.43,57.14,61.9,71.43,57.14,76.19,66.67,21
4,77.78,66.67,66.67,66.67,55.56,55.56,55.56,66.67,66.67,55.56,55.56,9
5,100.0,100.0,85.71,100.0,85.71,100.0,85.71,100.0,85.71,100.0,85.71,7
6,91.67,91.67,93.33,90.0,91.67,91.67,93.33,93.33,90.0,88.33,95.0,60
7,70.0,72.5,70.0,67.5,72.5,65.0,47.5,45.0,50.0,57.5,72.5,40
8,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,0.0,66.67,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
10,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,13
11,88.89,91.11,88.89,84.44,88.89,88.89,86.67,84.44,82.22,82.22,88.89,45
12,95.92,93.88,95.92,93.88,95.92,93.88,94.9,92.86,93.88,92.86,90.82,98
13,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,98.1,97.47,97.47,98.73,98.1,98.73,97.47,96.84,96.84,97.47,98.1,158
16,94.14,93.77,92.31,93.77,93.77,92.67,92.31,91.94,91.94,91.94,91.21,273
17,88.46,90.38,90.38,90.38,88.46,88.46,90.38,90.38,88.46,84.62,86.54,52
18,60.0,80.0,80.0,80.0,40.0,60.0,60.0,80.0,60.0,60.0,60.0,5
19,92.45,95.28,91.51,92.45,93.4,89.62,91.51,93.4,94.34,90.57,89.62,106
20,97.84,96.1,96.54,96.1,97.4,96.54,96.54,95.24,95.24,94.81,96.1,231
21,95.7,95.7,95.7,94.62,94.62,93.55,93.55,93.55,91.4,94.62,93.55,93
22,78.46,80.0,80.0,78.46,80.0,78.46,80.0,78.46,78.46,78.46,80.0,65
23,98.46,97.85,98.77,97.85,98.15,97.54,97.85,97.85,98.15,96.62,96.62,325
24,75.0,70.0,75.0,75.0,75.0,80.0,85.0,75.0,75.0,75.0,75.0,20
25,100.0,95.24,95.24,90.48,95.24,95.24,80.95,90.48,80.95,95.24,85.71,21
26,90.91,90.91,90.91,90.91,90.91,90.91,86.36,90.91,90.91,86.36,95.45,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,17
28,97.66,97.66,97.66,97.66,98.05,96.48,96.48,93.75,94.53,96.48,94.14,256
29,91.23,92.98,92.98,84.21,87.72,91.23,89.47,80.7,87.72,84.21,91.23,57
30,97.68,97.91,98.14,98.14,97.91,97.68,97.91,98.14,97.91,98.38,98.14,431
31,96.67,95.56,95.56,95.0,96.11,96.11,95.0,93.89,95.56,96.11,95.56,180
32,98.31,98.03,98.31,98.31,97.75,98.31,97.47,98.03,97.19,96.35,97.19,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
