filter,class,predicted_class
Original,42,52
rain10,42,52
Original,48,48
rain10,48,48
Original,20,20
rain10,20,20
Original,28,28
rain10,28,28
Original,21,21
rain10,21,21
Original,50,50
rain10,50,50
Original,46,46
rain10,46,46
Original,87,87
rain10,87,87
Original,83,83
rain10,83,83
Original,74,74
rain10,74,74
Original,72,72
rain10,72,72
Original,90,90
rain10,90,90
Original,50,50
rain10,50,50
Original,74,74
rain10,74,74
Original,28,28
rain10,28,28
Original,54,54
rain10,54,54
Original,29,29
rain10,29,29
Original,32,32
rain10,32,32
Original,57,57
rain10,57,57
Original,48,48
rain10,48,48
Original,39,39
rain10,39,39
Original,57,57
rain10,57,57
Original,51,51
rain10,51,51
Original,67,67
rain10,67,67
Original,23,23
rain10,23,23
Original,16,16
rain10,16,16
Original,48,48
rain10,48,48
Original,30,30
rain10,30,30
Original,31,31
rain10,31,31
Original,30,31
rain10,30,30
Original,15,15
rain10,15,15
Original,90,90
rain10,90,90
Original,97,97
rain10,97,97
Original,90,90
rain10,90,90
Original,23,23
rain10,23,23
Original,23,23
rain10,23,23
Original,53,53
rain10,53,53
Original,46,46
rain10,46,46
Original,30,30
rain10,30,30
Original,82,82
rain10,82,82
Original,55,55
rain10,55,55
Original,83,83
rain10,83,83
Original,30,30
rain10,30,30
Original,48,48
rain10,48,48
Original,45,45
rain10,45,45
Original,32,32
rain10,32,32
Original,48,48
rain10,48,48
Original,90,90
rain10,90,90
Original,97,97
rain10,97,97
Original,48,48
rain10,48,48
Original,72,72
rain10,72,72
Original,1,1
rain10,1,1
Original,12,12
rain10,12,12
Original,15,15
rain10,15,15
Original,77,77
rain10,77,77
Original,30,30
rain10,30,30
Original,93,93
rain10,93,16
Original,76,76
rain10,76,76
Original,48,48
rain10,48,48
Original,55,55
rain10,55,55
Original,23,23
rain10,23,23
Original,63,63
rain10,63,63
Original,56,52
rain10,56,52
Original,2,2
rain10,2,2
Original,45,45
rain10,45,45
Original,30,30
rain10,30,30
Original,77,77
rain10,77,77
Original,39,39
rain10,39,39
Original,60,60
rain10,60,60
Original,50,57
rain10,50,50
Original,24,24
rain10,24,24
Original,28,28
rain10,28,28
Original,79,79
rain10,79,79
Original,31,31
rain10,31,31
Original,62,62
rain10,62,62
Original,52,52
rain10,52,52
Original,7,7
rain10,7,7
Original,19,20
rain10,19,60
Original,10,10
rain10,10,10
Original,57,57
rain10,57,57
Original,57,55
rain10,57,74
Original,67,67
rain10,67,67
Original,48,48
rain10,48,48
Original,74,74
rain10,74,74
Original,43,43
rain10,43,43
Original,67,67
rain10,67,67
Original,74,74
rain10,74,74
Original,50,50
rain10,50,50
Original,51,50
rain10,51,53
Original,90,90
rain10,90,90
Original,50,50
rain10,50,50
Original,61,61
rain10,61,61
Original,62,62
rain10,62,62
Original,37,37
rain10,37,37
Original,36,36
rain10,36,36
Original,87,87
rain10,87,87
Original,93,93
rain10,93,93
Original,51,51
rain10,51,51
Original,46,46
rain10,46,46
Original,46,46
rain10,46,46
Original,51,51
rain10,51,51
Original,53,53
rain10,53,53
Original,85,85
rain10,85,32
Original,28,28
rain10,28,28
Original,53,53
rain10,53,53
Original,64,64
rain10,64,64
Original,36,36
rain10,36,36
Original,28,28
rain10,28,28
Original,48,52
rain10,48,52
Original,74,74
rain10,74,74
Original,50,53
rain10,50,53
Original,67,67
rain10,67,67
Original,11,21
rain10,11,21
Original,79,79
rain10,79,79
Original,90,90
rain10,90,90
Original,53,53
rain10,53,53
Original,68,68
rain10,68,68
Original,90,90
rain10,90,90
Original,36,36
rain10,36,36
Original,20,20
rain10,20,20
Original,50,50
rain10,50,50
Original,41,41
rain10,41,41
Original,36,36
rain10,36,36
Original,60,60
rain10,60,77
Original,32,32
rain10,32,32
Original,17,17
