filter,snow,rain,night,fog
1.0,92.61753525017909,92.84265097718203,92.86703315256318,92.98269149698149
2.0,92.06976496469866,92.7108180701934,92.73719472014734,92.96551990177018
3.0,91.5202973498414,92.5818331116341,92.7945657423514,92.83549084211603
4.0,90.9474021283127,92.31347068453901,92.54806876087181,92.58486708277908
5.0,90.11259296019645,92.16318008799755,92.28294167604625,92.2890364268904
6.0,89.11622572393328,92.09249616289777,91.94648060984346,91.87555540775608
7.0,88.29929049421875,91.79689777959683,91.40281500051161,91.17994413179167
8.0,87.38676997851223,91.67804850097207,90.82292469047374,90.27925734165557
9.0,86.27133684641359,91.51748306558889,89.6358719942699,88.9387896244756
10.0,85.34830778675945,91.25850373477951,88.10818059961119,87.01104850097205
