filter,class,predicted_class
Original,79,79
fog10,79,90
Original,67,67
fog10,67,56
Original,63,63
fog10,63,28
Original,22,22
fog10,22,41
Original,81,90
fog10,81,95
Original,50,50
fog10,50,30
Original,31,77
fog10,31,28
Original,45,45
fog10,45,62
Original,32,32
fog10,32,91
Original,32,32
fog10,32,97
Original,32,77
fog10,32,50
Original,30,30
fog10,30,77
Original,12,12
fog10,12,95
Original,46,46
fog10,46,28
Original,23,23
fog10,23,66
Original,79,79
fog10,79,30
Original,32,32
fog10,32,90
Original,16,16
fog10,16,90
Original,28,28
fog10,28,86
Original,90,90
fog10,90,50
Original,90,90
fog10,90,90
Original,22,22
fog10,22,30
Original,32,32
fog10,32,16
Original,77,77
fog10,77,74
Original,63,63
fog10,63,28
Original,20,20
fog10,20,90
Original,30,30
fog10,30,28
Original,99,99
fog10,99,86
Original,39,39
fog10,39,91
Original,34,34
fog10,34,93
Original,55,55
fog10,55,46
Original,48,48
fog10,48,30
Original,55,55
fog10,55,56
Original,67,67
fog10,67,91
Original,90,90
fog10,90,62
Original,32,32
fog10,32,86
Original,11,11
fog10,11,90
Original,2,2
fog10,2,74
Original,28,28
fog10,28,28
Original,43,43
fog10,43,74
Original,46,46
fog10,46,52
Original,52,52
fog10,52,62
Original,52,52
fog10,52,36
Original,50,50
fog10,50,27
Original,48,48
fog10,48,90
Original,90,90
fog10,90,28
Original,90,90
fog10,90,49
Original,32,32
fog10,32,30
Original,53,53
fog10,53,52
Original,78,78
fog10,78,95
Original,45,45
fog10,45,27
Original,32,32
fog10,32,28
Original,23,23
fog10,23,87
Original,46,46
fog10,46,97
Original,51,51
fog10,51,74
Original,45,45
fog10,45,95
Original,11,90
fog10,11,85
Original,23,23
fog10,23,91
Original,60,60
fog10,60,90
Original,36,36
fog10,36,23
Original,61,61
fog10,61,50
Original,6,6
fog10,6,30
Original,51,77
fog10,51,28
Original,16,16
fog10,16,91
Original,13,13
fog10,13,87
Original,50,50
fog10,50,86
Original,53,53
fog10,53,90
Original,32,32
fog10,32,30
Original,60,60
fog10,60,91
Original,61,61
fog10,61,86
Original,83,83
fog10,83,90
Original,77,77
fog10,77,50
Original,30,30
fog10,30,28
Original,45,45
fog10,45,23
Original,52,52
fog10,52,32
Original,67,67
fog10,67,90
Original,50,50
fog10,50,16
Original,53,53
fog10,53,77
Original,15,15
fog10,15,85
Original,78,78
fog10,78,97
Original,46,46
fog10,46,41
Original,30,30
fog10,30,28
