filter,class,predicted_class
Original,81,68
night,81,68
Original,52,52
night,52,52
Original,46,46
night,46,46
Original,30,30
night,30,30
Original,90,90
night,90,90
Original,78,78
night,78,78
Original,79,79
night,79,79
Original,50,50
night,50,50
Original,90,90
night,90,90
Original,36,36
night,36,36
Original,93,93
night,93,93
Original,32,32
night,32,32
Original,74,74
night,74,70
Original,78,78
night,78,78
Original,55,55
night,55,55
Original,77,77
night,77,32
Original,32,32
night,32,32
Original,53,53
night,53,53
Original,57,57
night,57,57
Original,48,48
night,48,48
Original,30,30
night,30,30
Original,40,40
night,40,40
Original,48,52
night,48,48
Original,63,63
night,63,30
Original,78,78
night,78,78
Original,0,0
night,0,0
Original,20,20
night,20,20
Original,12,12
night,12,12
Original,52,52
night,52,52
Original,78,78
night,78,78
Original,16,16
night,16,16
Original,90,90
night,90,90
Original,32,32
night,32,32
Original,23,23
night,23,23
Original,67,74
night,67,83
Original,0,0
night,0,0
Original,7,7
night,7,6
Original,48,48
night,48,48
Original,52,52
night,52,52
Original,50,50
night,50,50
Original,23,23
night,23,23
Original,32,32
night,32,32
Original,36,36
night,36,36
Original,57,57
night,57,61
Original,90,90
night,90,90
Original,48,48
night,48,48
Original,60,60
night,60,60
Original,52,52
night,52,52
Original,30,30
night,30,30
Original,50,50
night,50,50
Original,32,32
night,32,32
Original,78,78
night,78,78
Original,16,16
night,16,16
Original,90,90
night,90,90
Original,32,32
night,32,32
Original,0,0
night,0,0
Original,74,74
night,74,74
Original,50,50
night,50,50
Original,22,22
night,22,22
Original,34,34
night,34,34
Original,37,50
night,37,61
Original,72,36
night,72,72
Original,26,26
night,26,26
Original,28,28
night,28,28
Original,32,32
night,32,78
Original,71,35
night,71,35
Original,87,87
night,87,87
Original,50,50
night,50,50
Original,90,90
night,90,90
Original,45,45
night,45,45
Original,50,50
night,50,50
Original,11,11
night,11,11
Original,45,45
night,45,45
Original,63,63
night,63,27
Original,55,55
night,55,55
Original,90,90
night,90,90
Original,16,16
night,16,16
