Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
1,82,58,49.78,673
1,82,61,79.36,470
1,82,60,60.68,323
1,82,148,77.94,68
1,82,67,75.81,430
1,82,108,81.78,450
1,82,73,68.21,173
1,82,62,90.63,619
1,82,20,88.26,477
1,82,54,96.21,554
1,82,29,0.0,17
1,82,122,0.0,9
1,82,65,24.84,471
1,82,76,61.68,107
1,82,161,30.0,20
1,82,16,63.55,310
1,82,71,85.37,123
1,82,12,62.58,163
1,82,82,70.23,131
1,82,34,90.93,430
1,82,53,78.95,361
1,82,86,84.05,533
1,82,21,94.39,196
1,82,59,5.08,59
1,82,104,6.31,111
1,82,23,76.89,424
1,82,0,29.88,164
1,82,79,89.35,385
1,82,92,78.87,71
1,82,51,25.0,36
1,82,150,0.0,20
1,82,158,0.0,48
1,82,40,94.93,217
1,82,7,32.56,86
1,82,35,89.75,400
1,82,31,52.64,435
1,82,41,48.28,232
1,82,100,0.0,4
1,82,66,0.0,17
1,82,2,0.0,37
1,82,140,0.0,6
1,82,46,3.85,26
1,82,63,0.0,23
1,82,87,86.27,102
1,82,89,71.35,185
1,82,36,54.05,185
1,82,113,0.0,4
1,82,84,96.21,211
1,82,3,0.0,7
1,82,147,25.0,96
1,82,39,75.86,29
1,82,90,69.05,126
1,82,85,88.98,127
1,82,138,9.44,180
1,82,6,0.0,45
1,82,139,54.84,248
1,82,72,70.83,72
1,82,111,78.0,50
1,82,49,88.12,160
1,82,94,57.14,28
1,82,17,0.0,98
1,82,64,0.0,12
1,82,99,56.34,71
1,82,15,34.73,167
1,82,69,60.0,75
1,82,27,0.0,16
1,82,134,0.0,4
1,82,125,36.84,19
1,82,81,0.0,15
1,82,159,50.79,63
1,82,68,0.0,9
1,82,106,0.0,21
1,82,145,3.12,32
1,82,70,87.88,132
1,82,124,85.19,27
1,82,83,98.41,63
1,82,32,30.15,136
1,82,80,3.45,29
1,82,102,0.0,7
1,82,105,83.76,117
1,82,118,1.56,64
1,82,129,0.0,6
1,82,115,0.0,6
1,82,162,0.0,24
1,82,142,63.41,41
1,82,37,0.0,13
1,82,121,0.0,23
1,82,160,3.12,32
1,82,11,0.0,37
1,82,154,0.0,24
1,82,163,0.0,15
1,82,56,13.04,69
1,82,127,5.26,19
1,82,107,0.0,6
1,82,1,0.0,38
1,82,38,63.16,19
1,82,146,0.0,31
1,82,74,0.0,11
1,82,47,2.78,36
1,82,22,58.06,31
1,82,13,0.0,4
1,82,44,0.0,2
1,82,135,0.0,8
1,82,4,0.0,8
1,82,96,0.0,6
1,82,18,0.0,7
1,82,157,0.0,10
1,82,156,0.0,3
1,82,141,0.0,5
1,82,131,0.0,8
1,82,19,0.0,15
1,82,25,0.0,3
1,82,109,0.0,14
1,82,110,0.0,13
1,82,26,0.0,18
1,82,50,55.36,56
1,82,52,0.0,7
1,82,117,0.0,2
1,82,155,0.0,1
1,82,128,0.0,2
1,82,24,0.0,17
1,82,101,0.0,2
1,82,112,0.0,4
1,82,143,0.0,2
1,82,8,0.0,6
1,82,132,0.0,3
1,82,123,12.5,8
1,82,88,0.0,16
1,82,43,0.0,2
1,82,5,0.0,7
1,82,57,0.0,1
1,82,116,0.0,1
1,82,14,0.0,3
1,82,77,0.0,2
1,82,152,0.0,2
1,82,30,0.0,3
1,82,93,0.0,4
1,82,103,0.0,1
1,82,144,0.0,3
1,82,78,0.0,1
1,82,126,0.0,4
1,82,136,0.0,3
1,82,98,0.0,3
1,82,28,0.0,2
1,82,120,0.0,3
1,82,42,0.0,6
1,82,75,0.0,9
1,82,137,0.0,3
1,82,119,0.0,2
1,82,95,0.0,3
1,82,9,0.0,3
1,82,151,0.0,1
1,82,97,0.0,2
1,82,130,0.0,2
1,82,149,0.0,2
1,82,45,0.0,2
1,82,91,0.0,1
1,82,133,0.0,2
1,82,55,0.0,1
1,82,153,0.0,1
2,82,87,93.14,102
2,82,39,65.52,29
2,82,59,61.02,59
2,82,31,94.25,435
2,82,32,92.65,136
2,82,79,94.81,385
2,82,145,56.25,32
2,82,54,96.57,554
2,82,86,94.0,533
2,82,60,81.73,323
2,82,108,92.44,450
2,82,162,33.33,24
2,82,12,96.93,163
2,82,70,96.97,132
2,82,161,60.0,20
2,82,90,80.95,126
2,82,9,0.0,3
2,82,104,30.63,111
2,82,67,94.42,430
2,82,105,91.45,117
2,82,82,85.5,131
2,82,65,91.51,471
2,82,148,79.41,68
2,82,71,82.11,123
2,82,61,94.47,470
2,82,50,82.14,56
2,82,58,90.34,673
2,82,92,63.38,71
2,82,142,63.41,41
2,82,53,95.84,361
2,82,109,0.0,14
2,82,35,93.0,400
2,82,37,46.15,13
2,82,23,93.16,424
2,82,62,95.96,619
2,82,21,80.1,196
2,82,56,73.91,69
2,82,139,73.39,248
2,82,89,87.03,185
2,82,34,96.74,430
2,82,84,95.26,211
2,82,94,82.14,28
2,82,20,97.06,477
2,82,76,75.7,107
2,82,75,33.33,9
2,82,16,94.52,310
2,82,36,90.27,185
2,82,147,35.42,96
2,82,6,68.89,45
2,82,41,93.97,232
2,82,40,97.24,217
2,82,26,5.56,18
2,82,15,91.62,167
2,82,72,95.83,72
2,82,99,83.1,71
2,82,85,96.85,127
2,82,49,90.62,160
2,82,64,33.33,12
2,82,154,33.33,24
2,82,159,76.19,63
2,82,138,52.22,180
2,82,69,89.33,75
2,82,150,5.0,20
2,82,73,78.61,173
2,82,127,68.42,19
2,82,156,0.0,3
2,82,83,100.0,63
2,82,115,16.67,6
2,82,17,77.55,98
2,82,163,40.0,15
2,82,11,81.08,37
2,82,146,22.58,31
2,82,7,84.88,86
2,82,46,73.08,26
2,82,63,0.0,23
2,82,135,0.0,8
2,82,88,43.75,16
2,82,110,0.0,13
2,82,122,11.11,9
2,82,68,100.0,9
2,82,121,52.17,23
2,82,111,80.0,50
2,82,38,73.68,19
2,82,2,75.68,37
2,82,0,91.46,164
2,82,51,83.33,36
2,82,158,29.17,48
2,82,144,0.0,3
2,82,106,19.05,21
2,82,74,45.45,11
2,82,117,0.0,2
2,82,81,53.33,15
2,82,47,75.0,36
2,82,124,74.07,27
2,82,80,34.48,29
2,82,129,0.0,6
2,82,4,62.5,8
2,82,101,0.0,2
2,82,22,83.87,31
2,82,25,0.0,3
2,82,24,52.94,17
2,82,3,0.0,7
2,82,78,0.0,1
2,82,160,53.12,32
2,82,131,12.5,8
2,82,97,0.0,2
2,82,19,46.67,15
2,82,118,82.81,64
2,82,29,29.41,17
2,82,116,0.0,1
2,82,152,0.0,2
2,82,27,31.25,16
2,82,66,5.88,17
2,82,14,0.0,3
2,82,5,0.0,7
2,82,137,0.0,3
2,82,42,50.0,6
2,82,30,0.0,3
2,82,136,0.0,3
2,82,125,47.37,19
2,82,52,28.57,7
2,82,100,0.0,4
2,82,128,0.0,2
2,82,93,0.0,4
2,82,113,0.0,4
2,82,18,0.0,7
2,82,96,0.0,6
2,82,102,0.0,7
2,82,1,81.58,38
2,82,153,0.0,1
2,82,107,0.0,6
2,82,55,0.0,1
2,82,140,0.0,6
2,82,134,0.0,4
2,82,143,0.0,2
2,82,8,0.0,6
2,82,123,50.0,8
2,82,132,0.0,3
2,82,119,0.0,2
2,82,77,0.0,2
2,82,120,0.0,3
2,82,157,0.0,10
2,82,98,0.0,3
2,82,126,25.0,4
2,82,130,0.0,2
2,82,13,0.0,4
2,82,112,0.0,4
2,82,44,0.0,2
2,82,103,0.0,1
2,82,45,0.0,2
2,82,141,0.0,5
2,82,149,0.0,2
2,82,95,0.0,3
2,82,57,0.0,1
2,82,28,0.0,2
2,82,133,0.0,2
2,82,155,0.0,1
2,82,43,0.0,2
2,82,91,0.0,1
2,82,151,0.0,1
3,82,58,87.37,673
3,82,79,96.88,385
3,82,35,94.75,400
3,82,71,93.5,123
3,82,23,92.22,424
3,82,31,97.24,435
3,82,62,97.42,619
3,82,108,95.33,450
3,82,65,93.84,471
3,82,61,96.17,470
3,82,68,100.0,9
3,82,60,92.26,323
3,82,86,89.12,533
3,82,21,93.37,196
3,82,142,75.61,41
3,82,53,96.95,361
3,82,52,71.43,7
3,82,90,83.33,126
3,82,99,87.32,71
3,82,34,96.51,430
3,82,6,75.56,45
3,82,54,99.46,554
3,82,67,96.74,430
3,82,51,69.44,36
3,82,70,97.73,132
3,82,125,68.42,19
3,82,147,84.38,96
3,82,49,93.75,160
3,82,32,95.59,136
3,82,20,98.53,477
3,82,41,93.97,232
3,82,139,58.06,248
3,82,124,96.3,27
3,82,38,73.68,19
3,82,11,86.49,37
3,82,159,85.71,63
3,82,7,95.35,86
3,82,134,0.0,4
3,82,105,94.02,117
3,82,63,52.17,23
3,82,84,97.16,211
3,82,87,93.14,102
3,82,148,95.59,68
3,82,161,60.0,20
3,82,12,96.32,163
3,82,154,54.17,24
3,82,83,100.0,63
3,82,94,92.86,28
3,82,160,68.75,32
3,82,36,97.84,185
3,82,82,96.18,131
3,82,69,86.67,75
3,82,73,71.1,173
3,82,26,66.67,18
3,82,158,72.92,48
3,82,16,94.52,310
3,82,117,0.0,2
3,82,145,78.12,32
3,82,150,25.0,20
3,82,2,62.16,37
3,82,15,92.81,167
3,82,138,54.44,180
3,82,122,11.11,9
3,82,89,80.54,185
3,82,40,98.62,217
3,82,0,95.73,164
3,82,50,85.71,56
3,82,27,68.75,16
3,82,64,58.33,12
3,82,76,83.18,107
3,82,1,94.74,38
3,82,111,78.0,50
3,82,146,16.13,31
3,82,92,85.92,71
3,82,39,75.86,29
3,82,85,95.28,127
3,82,46,76.92,26
3,82,101,0.0,2
3,82,17,91.84,98
3,82,104,56.76,111
3,82,140,0.0,6
3,82,56,68.12,69
3,82,162,45.83,24
3,82,88,50.0,16
3,82,123,75.0,8
3,82,57,0.0,1
3,82,47,83.33,36
3,82,118,84.38,64
3,82,66,41.18,17
3,82,74,36.36,11
3,82,110,15.38,13
3,82,59,79.66,59
3,82,80,68.97,29
3,82,45,0.0,2
3,82,130,0.0,2
3,82,102,0.0,7
3,82,22,80.65,31
3,82,43,0.0,2
3,82,9,0.0,3
3,82,129,0.0,6
3,82,72,98.61,72
3,82,18,0.0,7
3,82,4,50.0,8
3,82,106,52.38,21
3,82,107,50.0,6
3,82,109,14.29,14
3,82,163,60.0,15
3,82,112,0.0,4
3,82,127,73.68,19
3,82,81,73.33,15
3,82,131,100.0,8
3,82,24,70.59,17
3,82,29,52.94,17
3,82,77,0.0,2
3,82,91,0.0,1
3,82,5,71.43,7
3,82,126,75.0,4
3,82,30,33.33,3
3,82,19,93.33,15
3,82,135,12.5,8
3,82,3,71.43,7
3,82,25,0.0,3
3,82,96,16.67,6
3,82,44,0.0,2
3,82,8,66.67,6
3,82,78,0.0,1
3,82,144,0.0,3
3,82,157,10.0,10
3,82,37,23.08,13
3,82,121,78.26,23
3,82,141,0.0,5
3,82,75,88.89,9
3,82,151,0.0,1
3,82,93,25.0,4
3,82,133,0.0,2
3,82,42,33.33,6
3,82,143,0.0,2
3,82,98,33.33,3
3,82,137,0.0,3
3,82,28,0.0,2
3,82,115,33.33,6
3,82,132,0.0,3
3,82,13,0.0,4
3,82,113,0.0,4
3,82,136,0.0,3
3,82,100,0.0,4
3,82,14,0.0,3
3,82,120,0.0,3
3,82,97,0.0,2
3,82,119,0.0,2
3,82,152,0.0,2
3,82,155,0.0,1
3,82,95,0.0,3
3,82,55,0.0,1
3,82,128,0.0,2
3,82,149,0.0,2
3,82,103,0.0,1
3,82,153,0.0,1
3,82,156,33.33,3
3,82,116,0.0,1
4,82,35,94.25,400
4,82,82,93.13,131
4,82,62,97.9,619
4,82,79,94.29,385
4,82,60,88.85,323
4,82,58,95.54,673
4,82,87,97.06,102
4,82,86,94.56,533
4,82,61,97.45,470
4,82,70,99.24,132
4,82,67,95.81,430
4,82,12,96.32,163
4,82,39,75.86,29
4,82,65,94.06,471
4,82,54,98.19,554
4,82,72,98.61,72
4,82,150,25.0,20
4,82,138,77.78,180
4,82,20,99.16,477
4,82,40,96.77,217
4,82,31,92.87,435
4,82,41,94.4,232
4,82,49,94.38,160
4,82,139,61.69,248
4,82,6,53.33,45
4,82,126,100.0,4
4,82,76,84.11,107
4,82,36,91.89,185
4,82,17,83.67,98
4,82,159,76.19,63
4,82,73,81.5,173
4,82,162,33.33,24
4,82,90,88.1,126
4,82,27,75.0,16
4,82,158,62.5,48
4,82,89,87.03,185
4,82,16,89.03,310
4,82,34,96.74,430
4,82,148,89.71,68
4,82,59,79.66,59
4,82,105,93.16,117
4,82,74,45.45,11
4,82,21,95.92,196
4,82,1,94.74,38
4,82,53,99.17,361
4,82,2,78.38,37
4,82,75,77.78,9
4,82,122,77.78,9
4,82,84,99.53,211
4,82,108,90.0,450
4,82,111,92.0,50
4,82,56,84.06,69
4,82,0,98.78,164
4,82,22,80.65,31
4,82,7,98.84,86
4,82,127,52.63,19
4,82,37,38.46,13
4,82,51,91.67,36
4,82,23,95.05,424
4,82,99,88.73,71
4,82,85,96.06,127
4,82,50,89.29,56
4,82,109,21.43,14
4,82,142,75.61,41
4,82,145,84.38,32
4,82,147,84.38,96
4,82,71,95.93,123
4,82,38,89.47,19
4,82,125,73.68,19
4,82,132,0.0,3
4,82,32,96.32,136
4,82,43,0.0,2
4,82,118,98.44,64
4,82,15,98.8,167
4,82,124,96.3,27
4,82,69,94.67,75
4,82,63,17.39,23
4,82,104,48.65,111
4,82,161,45.0,20
4,82,149,0.0,2
4,82,80,55.17,29
4,82,92,87.32,71
4,82,163,73.33,15
4,82,129,0.0,6
4,82,160,81.25,32
4,82,11,89.19,37
4,82,29,64.71,17
4,82,47,77.78,36
4,82,106,80.95,21
4,82,77,0.0,2
4,82,8,0.0,6
4,82,154,79.17,24
4,82,102,57.14,7
4,82,46,76.92,26
4,82,146,19.35,31
4,82,121,100.0,23
4,82,83,100.0,63
4,82,91,0.0,1
4,82,100,0.0,4
4,82,81,86.67,15
4,82,130,0.0,2
4,82,26,50.0,18
4,82,98,66.67,3
4,82,135,0.0,8
4,82,96,66.67,6
4,82,18,71.43,7
4,82,14,0.0,3
4,82,94,85.71,28
4,82,112,0.0,4
4,82,64,75.0,12
4,82,116,0.0,1
4,82,13,25.0,4
4,82,131,87.5,8
4,82,68,77.78,9
4,82,136,0.0,3
4,82,42,50.0,6
4,82,24,64.71,17
4,82,123,62.5,8
4,82,141,0.0,5
4,82,19,93.33,15
4,82,110,15.38,13
4,82,88,68.75,16
4,82,66,64.71,17
4,82,157,30.0,10
4,82,140,0.0,6
4,82,44,0.0,2
4,82,4,75.0,8
4,82,5,100.0,7
4,82,52,71.43,7
4,82,113,0.0,4
4,82,115,33.33,6
4,82,153,0.0,1
4,82,55,0.0,1
4,82,103,0.0,1
4,82,93,100.0,4
4,82,137,0.0,3
4,82,107,66.67,6
4,82,133,0.0,2
4,82,3,42.86,7
4,82,45,0.0,2
4,82,120,0.0,3
4,82,156,0.0,3
4,82,134,0.0,4
4,82,25,0.0,3
4,82,95,0.0,3
4,82,128,0.0,2
4,82,152,0.0,2
4,82,143,0.0,2
4,82,30,33.33,3
4,82,28,0.0,2
4,82,97,0.0,2
4,82,9,33.33,3
4,82,117,0.0,2
4,82,101,0.0,2
4,82,144,0.0,3
4,82,151,0.0,1
4,82,78,0.0,1
4,82,119,0.0,2
4,82,57,0.0,1
4,82,155,0.0,1
5,82,76,80.37,107
5,82,139,76.61,248
5,82,49,93.75,160
5,82,17,93.88,98
5,82,86,95.5,533
5,82,58,95.54,673
5,82,145,78.12,32
5,82,21,94.39,196
5,82,147,84.38,96
5,82,108,93.33,450
5,82,35,96.0,400
5,82,65,91.93,471
5,82,62,96.61,619
5,82,53,98.61,361
5,82,15,95.81,167
5,82,89,90.27,185
5,82,90,86.51,126
5,82,12,97.55,163
5,82,31,97.7,435
5,82,23,95.75,424
5,82,20,98.95,477
5,82,34,97.67,430
5,82,138,65.56,180
5,82,41,95.26,232
5,82,54,99.1,554
5,82,32,97.79,136
5,82,104,64.86,111
5,82,16,96.45,310
5,82,118,95.31,64
5,82,71,95.12,123
5,82,131,100.0,8
5,82,79,96.62,385
5,82,61,97.45,470
5,82,105,94.02,117
5,82,87,98.04,102
5,82,94,85.71,28
5,82,73,83.24,173
5,82,162,41.67,24
5,82,125,94.74,19
5,82,85,95.28,127
5,82,40,98.62,217
5,82,47,75.0,36
5,82,84,97.63,211
5,82,7,98.84,86
5,82,36,90.27,185
5,82,67,97.67,430
5,82,82,94.66,131
5,82,1,94.74,38
5,82,111,72.0,50
5,82,70,98.48,132
5,82,106,76.19,21
5,82,158,79.17,48
5,82,60,94.12,323
5,82,159,73.02,63
5,82,160,81.25,32
5,82,24,76.47,17
5,82,92,87.32,71
5,82,72,98.61,72
5,82,45,0.0,2
5,82,46,84.62,26
5,82,148,95.59,68
5,82,0,98.78,164
5,82,29,29.41,17
5,82,100,0.0,4
5,82,39,82.76,29
5,82,37,38.46,13
5,82,75,22.22,9
5,82,121,95.65,23
5,82,50,87.5,56
5,82,11,94.59,37
5,82,69,98.67,75
5,82,146,35.48,31
5,82,6,75.56,45
5,82,99,87.32,71
5,82,51,88.89,36
5,82,83,98.41,63
5,82,27,81.25,16
5,82,154,75.0,24
5,82,59,91.53,59
5,82,2,83.78,37
5,82,22,80.65,31
5,82,150,35.0,20
5,82,136,0.0,3
5,82,81,66.67,15
5,82,156,33.33,3
5,82,141,0.0,5
5,82,88,62.5,16
5,82,123,75.0,8
5,82,142,80.49,41
5,82,122,77.78,9
5,82,109,42.86,14
5,82,80,82.76,29
5,82,161,45.0,20
5,82,102,42.86,7
5,82,19,100.0,15
5,82,127,84.21,19
5,82,30,66.67,3
5,82,74,90.91,11
5,82,144,0.0,3
5,82,8,83.33,6
5,82,26,88.89,18
5,82,124,96.3,27
5,82,96,50.0,6
5,82,110,53.85,13
5,82,56,82.61,69
5,82,163,80.0,15
5,82,78,0.0,1
5,82,93,100.0,4
5,82,28,0.0,2
5,82,137,0.0,3
5,82,38,84.21,19
5,82,115,83.33,6
5,82,112,50.0,4
5,82,135,0.0,8
5,82,57,0.0,1
5,82,64,75.0,12
5,82,157,10.0,10
5,82,133,0.0,2
5,82,107,66.67,6
5,82,101,0.0,2
5,82,42,66.67,6
5,82,63,39.13,23
5,82,5,71.43,7
5,82,120,33.33,3
5,82,18,71.43,7
5,82,66,41.18,17
5,82,134,25.0,4
5,82,3,57.14,7
5,82,14,0.0,3
5,82,129,16.67,6
5,82,128,0.0,2
5,82,97,0.0,2
5,82,126,100.0,4
5,82,113,0.0,4
5,82,4,75.0,8
5,82,13,50.0,4
5,82,152,0.0,2
5,82,117,0.0,2
5,82,52,71.43,7
5,82,153,0.0,1
5,82,155,0.0,1
5,82,91,0.0,1
5,82,95,0.0,3
5,82,98,100.0,3
5,82,68,100.0,9
