filter,class,predicted_class
Original,74,74
fog10,74,66
Original,51,51
fog10,51,35
Original,76,76
fog10,76,74
Original,45,45
fog10,45,90
Original,15,15
fog10,15,90
Original,30,30
fog10,30,66
Original,52,52
fog10,52,86
Original,40,40
fog10,40,90
Original,16,16
fog10,16,90
Original,87,87
fog10,87,74
Original,30,30
fog10,30,83
Original,50,50
fog10,50,83
Original,23,41
fog10,23,83
Original,68,68
fog10,68,35
Original,87,87
fog10,87,74
Original,0,0
fog10,0,90
Original,57,57
fog10,57,31
Original,37,37
fog10,37,90
Original,48,48
fog10,48,66
Original,76,76
fog10,76,31
Original,52,52
fog10,52,90
Original,23,23
fog10,23,86
Original,90,90
fog10,90,90
Original,90,90
fog10,90,66
Original,30,30
fog10,30,86
Original,44,44
fog10,44,90
Original,28,28
fog10,28,59
Original,46,46
fog10,46,90
Original,57,57
fog10,57,90
Original,74,74
fog10,74,90
Original,47,47
fog10,47,90
Original,20,20
fog10,20,90
Original,41,41
fog10,41,66
Original,50,50
fog10,50,90
Original,16,16
fog10,16,90
Original,30,30
fog10,30,31
Original,59,59
fog10,59,90
Original,12,12
fog10,12,62
Original,55,55
fog10,55,90
Original,52,52
fog10,52,90
Original,16,16
fog10,16,90
Original,97,86
fog10,97,90
Original,41,41
fog10,41,53
Original,57,55
fog10,57,31
Original,12,12
fog10,12,50
Original,12,12
fog10,12,90
Original,31,31
fog10,31,90
Original,53,48
fog10,53,86
Original,3,3
fog10,3,59
Original,50,50
fog10,50,61
Original,63,63
fog10,63,97
Original,42,42
fog10,42,60
Original,93,93
fog10,93,90
Original,46,46
fog10,46,74
Original,78,78
fog10,78,90
Original,50,50
fog10,50,83
Original,90,90
fog10,90,90
Original,28,28
fog10,28,74
Original,90,90
fog10,90,74
Original,50,50
fog10,50,50
Original,36,36
fog10,36,74
Original,55,55
fog10,55,32
Original,63,63
fog10,63,74
Original,48,48
fog10,48,90
Original,87,20
fog10,87,35
Original,53,53
fog10,53,90
Original,74,74
fog10,74,90
Original,59,59
fog10,59,90
Original,74,90
fog10,74,90
Original,72,72
fog10,72,90
Original,51,51
fog10,51,90
Original,32,32
fog10,32,32
Original,37,37
fog10,37,60
Original,20,20
fog10,20,90
Original,48,48
fog10,48,32
Original,23,23
fog10,23,90
Original,20,20
fog10,20,90
Original,0,0
fog10,0,90
Original,20,20
fog10,20,28
Original,48,48
fog10,48,66
Original,23,23
fog10,23,90
Original,41,41
fog10,41,90
Original,46,46
fog10,46,50
Original,45,45
fog10,45,50
Original,29,12
fog10,29,88
Original,51,51
fog10,51,41
Original,63,63
fog10,63,90
Original,20,20
fog10,20,86
Original,12,12
fog10,12,41
Original,23,23
fog10,23,90
Original,30,30
fog10,30,74
Original,42,42
fog10,42,90
Original,0,0
fog10,0,53
Original,74,74
fog10,74,90
Original,46,46
fog10,46,86
Original,48,48
fog10,48,59
Original,46,46
fog10,46,66
Original,63,63
fog10,63,91
Original,97,32
fog10,97,59
Original,78,78
